ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
JANX UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
JAZZ UW,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
JBGS UN,Real Estate,Equity Real Estate Investment,Office REITs,Office REITs
JBHT UW,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation
JBI UN,Industrials,Capital Goods,Building Products,Building Products
JBL UN,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Manufacturing Servi
JBLU UW,Industrials,Transportation,Passenger Airlines,Passenger Airlines
JBSS UW,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
JBT UN,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
JCI UN,Industrials,Capital Goods,Building Products,Building Products
